Station-Line,Zipcode,Females,Males
34 ST-HERALD SQ--BDFMNQRW,10001,0.498,0.502
34 ST-PENN STA--ACE,10001,0.498,0.502
47-50 STS ROCK--BDFM,10020,0.354,0.646
GRD CNTRL-42 ST--4567S,10017,0.538,0.462
TIMES SQ-42 ST--1237ACENQRSW,10036,0.427,0.573
86 ST--456,10028,0.563,0.437
59 ST COLUMBUS--ABCD1,10019,0.505,0.495
59 ST--456NQRW,10022,0.559,0.441
LEXINGTON AV/53--EM6,10022,0.559,0.441
42 ST-PORT AUTH--ACENQRS1237W,10036,0.427,0.573
34 ST-PENN STA--123,10001,0.498,0.502
CHAMBERS ST--ACE23,10007,0.426,0.574
125 ST--ACBD,10027,0.536,0.464
23 ST--FM,10010,0.502,0.498
CHAMBERS ST--123,10007,0.426,0.574
